14,	1,	0,	1
16,	0,	0,	1
18,	0,	0,	1
20,	0,	0,	1
22,	1,	0,	1
50,	3,	2,	2
52,	2,	0,	1
54,	2,	0,	1
56,	2,	0,	1
58,	2,	0,	1
86,	9,	6,	2
88,	3,	0,	1
90,	3,	0,	1
92,	3,	0,	1
94,	3,	0,	1
96,	3,	0,	1
122,	11,	6,	2
124,	5,	0,	1
126,	4,	0,	1
128,	4,	0,	1
130,	5,	0,	1
158,	13,	6,	2
160,	6,	0,	1
162,	6,	0,	1
164,	6,	0,	1
166,	7,	0,	1
194,	13,	5,	2
196,	8,	0,	1
198,	7,	0,	1
200,	7,	0,	1
202,	8,	0,	1
204,	8,	0,	1
230,	13,	5,	1
232,	8,	0,	1
234,	8,	0,	1
236,	7,	0,	1
238,	8,	0,	1
240,	8,	0,	1
266,	13,	5,	1
268,	8,	0,	1
270,	7,	0,	1
272,	7,	0,	1
274,	8,	0,	1
276,	8,	0,	1
302,	13,	5,	1
304,	8,	0,	1
306,	7,	0,	1
308,	7,	0,	1
310,	8,	0,	1
312,	8,	0,	1
338,	13,	5,	1
340,	8,	0,	1
342,	8,	0,	1
344,	7,	0,	1
346,	8,	0,	1
374,	13,	5,	2
376,	7,	0,	1
378,	7,	0,	1
380,	6,	0,	1
382,	7,	0,	1
384,	7,	0,	1
410,	13,	5,	1
412,	8,	0,	1
414,	7,	0,	1
416,	7,	0,	1
418,	7,	0,	1
420,	7,	0,	1
422,	7,	0,	1
446,	13,	4,	1
448,	8,	0,	1
450,	8,	0,	1
452,	8,	0,	1
454,	8,	0,	1
456,	9,	0,	1
482,	14,	5,	1
484,	8,	0,	1
486,	7,	0,	1
488,	7,	0,	1
490,	8,	0,	1
518,	13,	5,	2
520,	8,	0,	1
522,	7,	0,	1
524,	7,	0,	1
526,	8,	0,	1
554,	14,	5,	2
556,	8,	0,	1
558,	7,	0,	1
560,	7,	0,	1
562,	8,	0,	1
564,	8,	0,	1
590,	13,	5,	1
592,	8,	0,	1
594,	8,	0,	1
596,	7,	0,	1
598,	8,	0,	1
600,	8,	0,	1
626,	13,	5,	2
628,	8,	0,	1
630,	8,	0,	1
632,	7,	0,	1
634,	8,	0,	1
636,	8,	0,	1
662,	13,	5,	1
664,	8,	0,	1
666,	7,	0,	1
668,	6,	0,	1
670,	7,	0,	1
672,	7,	0,	1
674,	8,	0,	1
698,	13,	4,	1
700,	8,	0,	1
702,	8,	0,	1
704,	8,	0,	1
706,	8,	0,	1
708,	9,	0,	1
734,	13,	5,	1
736,	8,	0,	1
738,	8,	0,	1
740,	7,	0,	1
742,	8,	0,	1
744,	8,	0,	1
770,	13,	5,	1
772,	8,	0,	1
774,	7,	0,	1
776,	6,	0,	1
778,	7,	0,	1
780,	7,	0,	1
806,	13,	4,	2
808,	7,	0,	1
810,	8,	0,	1
812,	7,	0,	1
814,	8,	0,	1
816,	8,	0,	1
842,	13,	5,	1
