0,	0,	0)
1,	1,	0)
2,	1,	0)
3,	1,	0)
4,	1,	0)
5,	1,	0)
6,	1,	0)
7,	1,	0)
8,	1,	0)
9,	1,	0)
10,	1,	0)
11,	1,	0)
12,	1,	0)
13,	1,	0)
14,	1,	1)
15,	0,	1)
16,	0,	1)
17,	0,	1)
18,	0,	1)
19,	0,	1)
20,	0,	1)
21,	0,	1)
22,	1,	1)
23,	1,	1)
24,	1,	0)
25,	1,	0)
26,	1,	0)
27,	1,	0)
28,	1,	0)
29,	1,	0)
30,	0,	0)
31,	0,	0)
32,	0,	0)
33,	0,	0)
34,	0,	0)
35,	1,	0)
36,	1,	0)
37,	1,	0)
38,	1,	0)
39,	1,	0)
40,	1,	0)
41,	1,	0)
42,	0,	0)
43,	0,	0)
44,	0,	0)
45,	0,	0)
46,	0,	0)
47,	0,	0)
48,	1,	0)
49,	1,	0)
50,	1,	1)
51,	1,	1)
52,	1,	1)
53,	2,	1)
54,	2,	1)
55,	1,	1)
56,	1,	1)
57,	2,	1)
58,	2,	1)
59,	2,	1)
60,	2,	1)
61,	2,	0)
62,	2,	0)
63,	3,	0)
64,	3,	0)
65,	2,	0)
66,	3,	0)
67,	3,	0)
68,	2,	0)
69,	2,	0)
70,	3,	0)
71,	3,	0)
72,	3,	0)
73,	2,	0)
74,	3,	0)
75,	3,	0)
76,	2,	0)
77,	2,	0)
78,	3,	0)
79,	2,	0)
80,	2,	0)
81,	3,	0)
82,	3,	0)
83,	2,	0)
84,	2,	0)
85,	3,	0)
86,	3,	1)
87,	2,	1)
88,	3,	1)
89,	3,	1)
90,	2,	1)
91,	3,	1)
92,	3,	1)
93,	3,	1)
94,	2,	1)
95,	3,	1)
96,	3,	0)
97,	3,	0)
98,	4,	0)
99,	4,	0)
100,	3,	0)
101,	4,	0)
102,	4,	0)
103,	3,	0)
104,	3,	0)
105,	4,	0)
106,	3,	0)
107,	3,	0)
108,	4,	0)
109,	4,	0)
110,	3,	0)
111,	3,	0)
112,	4,	0)
113,	3,	0)
114,	3,	0)
115,	4,	0)
116,	3,	0)
117,	3,	0)
118,	4,	0)
119,	3,	0)
120,	3,	0)
121,	4,	0)
122,	3,	1)
123,	3,	1)
124,	3,	1)
125,	3,	1)
126,	3,	1)
127,	3,	1)
128,	3,	1)
129,	3,	1)
130,	3,	1)
131,	3,	1)
132,	4,	1)
133,	4,	0)
134,	4,	0)
135,	5,	0)
136,	4,	0)
137,	4,	0)
138,	5,	0)
139,	5,	0)
140,	4,	0)
141,	5,	0)
142,	5,	0)
143,	5,	0)
144,	5,	0)
145,	5,	0)
146,	5,	0)
147,	5,	0)
148,	5,	0)
149,	5,	0)
150,	4,	0)
151,	5,	0)
152,	5,	0)
153,	5,	0)
154,	5,	0)
155,	5,	0)
156,	5,	0)
157,	5,	0)
158,	5,	1)
159,	5,	1)
160,	4,	1)
161,	5,	1)
162,	5,	1)
163,	5,	1)
164,	6,	1)
165,	6,	1)
166,	6,	1)
167,	7,	1)
168,	7,	1)
169,	7,	0)
170,	8,	0)
171,	8,	0)
172,	7,	0)
173,	7,	0)
174,	8,	0)
175,	8,	0)
176,	8,	0)
177,	9,	0)
178,	8,	0)
179,	8,	0)
180,	8,	0)
181,	9,	0)
182,	9,	0)
183,	8,	0)
184,	8,	0)
185,	9,	0)
186,	9,	0)
187,	8,	0)
188,	8,	0)
189,	8,	0)
190,	9,	0)
191,	8,	0)
192,	8,	0)
193,	8,	0)
194,	8,	1)
195,	7,	1)
196,	8,	1)
197,	8,	1)
198,	8,	1)
199,	8,	1)
200,	8,	1)
201,	8,	1)
202,	8,	1)
203,	8,	1)
204,	9,	1)
205,	9,	0)
206,	9,	0)
207,	9,	0)
208,	8,	0)
209,	8,	0)
210,	9,	0)
211,	9,	0)
212,	9,	0)
213,	9,	0)
214,	8,	0)
215,	8,	0)
216,	9,	0)
217,	9,	0)
218,	9,	0)
219,	8,	0)
220,	9,	0)
221,	9,	0)
222,	9,	0)
223,	9,	0)
224,	8,	0)
225,	9,	0)
226,	9,	0)
227,	9,	0)
228,	8,	0)
229,	8,	0)
230,	8,	1)
231,	8,	1)
232,	8,	1)
233,	8,	1)
234,	8,	1)
235,	8,	1)
236,	8,	1)
237,	8,	1)
238,	8,	1)
239,	8,	1)
240,	9,	0)
241,	9,	0)
242,	9,	0)
243,	8,	0)
244,	8,	0)
245,	8,	0)
246,	9,	0)
247,	9,	0)
248,	9,	0)
249,	8,	0)
250,	8,	0)
251,	8,	0)
252,	9,	0)
253,	9,	0)
254,	8,	0)
255,	8,	0)
256,	9,	0)
257,	9,	0)
258,	8,	0)
259,	8,	0)
260,	8,	0)
261,	9,	0)
262,	8,	0)
263,	8,	0)
264,	8,	0)
265,	8,	0)
266,	7,	1)
267,	8,	1)
268,	8,	1)
269,	8,	1)
270,	7,	1)
271,	7,	1)
272,	7,	1)
273,	7,	1)
274,	8,	1)
275,	8,	1)
276,	8,	1)
277,	8,	0)
278,	8,	0)
279,	7,	0)
280,	7,	0)
281,	8,	0)
282,	8,	0)
283,	8,	0)
284,	8,	0)
285,	7,	0)
286,	8,	0)
287,	8,	0)
288,	8,	0)
289,	7,	0)
290,	7,	0)
291,	8,	0)
292,	8,	0)
293,	8,	0)
294,	7,	0)
295,	8,	0)
296,	8,	0)
297,	8,	0)
298,	7,	0)
299,	7,	0)
300,	8,	0)
301,	7,	0)
302,	7,	1)
303,	7,	1)
304,	8,	1)
305,	7,	1)
306,	7,	1)
307,	7,	1)
308,	7,	1)
309,	7,	1)
310,	8,	1)
311,	8,	1)
312,	8,	1)
313,	8,	0)
314,	8,	0)
315,	9,	0)
316,	8,	0)
317,	8,	0)
318,	8,	0)
319,	8,	0)
320,	9,	0)
321,	9,	0)
322,	9,	0)
323,	8,	0)
324,	8,	0)
325,	9,	0)
326,	9,	0)
327,	8,	0)
328,	8,	0)
329,	9,	0)
330,	9,	0)
331,	9,	0)
332,	8,	0)
333,	8,	0)
334,	9,	0)
335,	9,	0)
336,	8,	0)
337,	8,	0)
338,	8,	1)
339,	8,	1)
340,	8,	1)
341,	8,	1)
342,	8,	1)
343,	8,	1)
344,	8,	1)
345,	8,	1)
346,	8,	1)
347,	8,	1)
348,	9,	1)
349,	9,	0)
350,	9,	0)
351,	8,	0)
352,	8,	0)
353,	8,	0)
354,	9,	0)
355,	9,	0)
356,	9,	0)
357,	9,	0)
358,	8,	0)
359,	9,	0)
360,	9,	0)
361,	9,	0)
362,	8,	0)
363,	8,	0)
364,	9,	0)
365,	9,	0)
366,	9,	0)
367,	8,	0)
368,	8,	0)
369,	9,	0)
370,	9,	0)
371,	8,	0)
372,	8,	0)
373,	8,	0)
374,	8,	1)
375,	8,	1)
376,	8,	1)
377,	8,	1)
378,	7,	1)
379,	7,	1)
380,	7,	1)
381,	7,	1)
382,	7,	1)
383,	8,	1)
384,	8,	1)
385,	8,	0)
386,	8,	0)
387,	7,	0)
388,	7,	0)
389,	8,	0)
390,	8,	0)
391,	8,	0)
392,	8,	0)
393,	7,	0)
394,	8,	0)
395,	8,	0)
396,	8,	0)
397,	7,	0)
398,	7,	0)
399,	8,	0)
400,	8,	0)
401,	7,	0)
402,	7,	0)
403,	7,	0)
404,	8,	0)
405,	7,	0)
406,	7,	0)
407,	7,	0)
408,	8,	0)
409,	7,	0)
410,	7,	1)
411,	7,	1)
412,	7,	1)
413,	7,	1)
414,	7,	1)
415,	7,	1)
416,	7,	1)
417,	7,	1)
418,	8,	1)
419,	8,	1)
420,	8,	1)
421,	8,	0)
422,	8,	0)
423,	9,	0)
424,	8,	0)
425,	8,	0)
426,	8,	0)
